acceleration_x.mean,velocity_x.mean,position_x.mean,acceleration_z.mean,velocity_z.mean,position_z.mean
-0.001793157,0,0,0.010206266,0,0
-0.001364805,0,0,0.007583503,0,0
-0.000936453,0,0,0.00496074,0,0
-0.000508102,0,0,0.002337977,0,0
-7.97E-05,0,0,-0.000284786,0,0
-0.000721353,0,0,-7.41E-05,0,0
-0.001362956,0,0,0.000136581,0,0
-0.002004558,0,0,0.000347265,0,0
-0.002646161,0,0,0.000557948,0,0
-0.003287764,0,0,0.000768632,0,0
-0.003929367,0,0,0.000979315,0,0
-0.00457097,0,0,0.001189999,0,0
-0.004383808,0,0,0.001929522,0,0
-0.004196646,0,0,0.002669044,0,0
-0.004009485,0,0,0.003408567,0,0
-0.003822323,0,0,0.004148089,0,0
-0.003635161,0,0,0.004887612,0,0
-0.003447999,0,0,0.005627134,0,0
-0.003349617,0,0,0.00411598,0,0
-0.003251235,0,0,0.002604826,0,0
-0.003152853,0,0,0.001093671,0,0
-0.003054471,0,0,-0.000417483,0,0
-0.002956089,0,0,-0.001928638,0,0
-0.004434524,0,0,-0.001314516,0,0
-0.005912958,0,0,-0.000700394,0,0
-0.007391393,0,0,-8.63E-05,0,0
-0.008869827,0,0,0.00052785,0,0
-0.010348261,0,0,0.001141972,0,0
-0.011826696,0,0,0.001756094,0,0
-0.010581323,0,0,0.00170895,0,0
-0.00933595,0,0,0.001661806,0,0
-0.008090578,0,0,0.001614662,0,0
-0.006845205,0,0,0.001567518,0,0
-0.005599832,0,0,0.001520374,0,0
-0.00435446,0,0,0.00147323,0,0
-0.003109087,0,0,0.001426086,0,0
-0.002666809,0,0,0.000834468,0,0
-0.00222453,0,0,0.00024285,0,0
-0.001782252,0,0,-0.000348768,0,0
-0.001339973,0,0,-0.000940386,0,0
-0.001514042,0,0,0.000358365,0,0
-0.001688112,0,0,0.001657117,0,0
-0.001862181,0,0,0.002955869,0,0
-0.00203625,0,0,0.004254621,0,0
-0.002606384,0,0,0.003918529,0,0
-0.003176517,0,0,0.003582437,0,0
-0.003746651,0,0,0.003246345,0,0
-0.004316785,0,0,0.002910253,0,0
-0.004886919,0,0,0.002574161,0,0
-0.005457053,0,0,0.002238069,0,0
-0.006027186,0,0,0.001901977,0,0
-0.005465846,0,0,0.001688722,0,0
-0.004904505,0,0,0.001475466,0,0
-0.004343164,0,0,0.001262211,0,0
-0.003781823,0,0,0.001048955,0,0
-0.003220483,0,0,0.000835699,0,0
-0.002659142,0,0,0.000622444,0,0
-0.002097801,0,0,0.000409188,0,0
-0.002418963,-7.81E-05,-6.01E-06,-1.08E-05,-9.47E-05,-8.41E-06
-0.002740125,-0.000156189,-1.20E-05,-0.000430801,-0.000189475,-1.68E-05
-0.003061287,-0.000234283,-1.80E-05,-0.000850796,-0.000284213,-2.52E-05
-0.003382449,-0.000312378,-2.41E-05,-0.001270791,-0.000378951,-3.37E-05
-0.002820318,-0.000377117,-3.68E-05,-0.000776504,-0.000360406,-3.95E-05
-0.002258188,-0.000441855,-4.95E-05,-0.000282217,-0.000341861,-4.54E-05
-0.001696057,-0.000506594,-6.22E-05,0.00021207,-0.000323316,-5.13E-05
-0.001133926,-0.000571333,-7.49E-05,0.000706357,-0.000304771,-5.72E-05
-0.000571796,-0.000636071,-8.76E-05,0.001200644,-0.000286227,-6.30E-05
-9.66E-06,-0.00070081,-0.000100261,0.001694931,-0.000267682,-6.89E-05
-9.37E-05,-0.000714748,-0.000109399,0.002772196,-0.000209787,-6.94E-05
-0.000177802,-0.000728686,-0.000118536,0.003849461,-0.000151892,-7.00E-05
-0.00026187,-0.000742623,-0.000127674,0.004926725,-9.40E-05,-7.05E-05
-0.000345939,-0.000756561,-0.000136811,0.00600399,-3.61E-05,-7.11E-05
-0.000430008,-0.000770499,-0.000145949,0.007081254,2.18E-05,-7.16E-05
-0.000514076,-0.000784437,-0.000155086,0.008158519,7.97E-05,-7.21E-05
-0.000598145,-0.000798375,-0.000164224,0.009235783,0.000137582,-7.27E-05
-0.000771433,-0.000736827,-0.0001798,0.007443176,0.000145716,-6.84E-05
-0.000944721,-0.00067528,-0.000195375,0.005650569,0.000153851,-6.41E-05
-0.001118009,-0.000613733,-0.000210951,0.003857962,0.000161985,-5.98E-05
-0.001291297,-0.000552186,-0.000226527,0.002065354,0.00017012,-5.55E-05
-0.001145556,-0.000613655,-0.000245304,0.001271074,0.000113629,-5.72E-05
-0.000999816,-0.000675125,-0.000264081,0.000476794,5.71E-05,-5.89E-05
-0.000854075,-0.000736595,-0.000282858,-0.000317486,6.48E-07,-6.06E-05
-0.000708335,-0.000798064,-0.000301635,-0.001111766,-5.58E-05,-6.23E-05
-0.000562594,-0.000859534,-0.000320412,-0.001906046,-0.000112334,-6.40E-05
-0.000416854,-0.000921004,-0.000339189,-0.002700326,-0.000168824,-6.57E-05
-0.000668541,-0.00093077,-0.00035734,-0.00145961,-6.14E-05,-6.04E-05
-0.000920228,-0.000940535,-0.000375491,-0.000218895,4.59E-05,-5.51E-05
-0.001171915,-0.000950301,-0.000393641,0.00102182,0.000153305,-4.98E-05
-0.001423602,-0.000960067,-0.000411792,0.002262535,0.000260682,-4.45E-05
-0.001675289,-0.000969833,-0.000429943,0.003503251,0.000368058,-3.92E-05
-0.001926976,-0.000979599,-0.000448094,0.004743966,0.000475435,-3.39E-05
-0.002833935,-0.001034233,-0.000469897,0.004916114,0.000534971,-2.03E-05
-0.003740894,-0.001088868,-0.0004917,0.005088262,0.000594507,-6.62E-06
